City_Id,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Barrow,0,AR,1577914064,54,-38.31,-60.23,294.46,5.6
1,Ternate,75,PH,1577914064,88,14.29,120.72,298.15,7.85
2,Rikitea,100,PF,1577914065,80,-23.12,-134.97,299.08,5.21
3,Lompoc,1,US,1577914016,59,34.64,-120.46,292.04,4.6
4,Mataura,100,NZ,1577914065,97,-46.19,168.86,284.67,0.33
5,Macon,1,US,1577914066,26,32.84,-83.63,289.15,3.6
6,Avera,1,US,1577914054,32,33.19,-82.53,289.15,3.6
7,Kodiak,1,US,1577914066,43,39.95,-94.76,286.48,7.7
8,Punta Arenas,96,CL,1577914066,37,-53.16,-70.91,294.15,7.7
9,Ribeira Grande,40,PT,1577914066,63,38.52,-28.7,289.15,8.7
10,Mar del Plata,100,AR,1577914067,64,-46.43,-67.52,292.1,5.66
11,Jamestown,0,AU,1577914067,41,-33.21,138.6,291.14,4.89
12,Dikson,100,RU,1577914067,91,73.51,80.55,255.86,11.46
13,Mahebourg,20,MU,1577914067,94,-20.41,57.7,298.71,1.5
14,Souillac,90,FR,1577914068,100,45.6,-0.6,282.59,4.6
15,Severo-Kurilsk,30,RU,1577914068,73,50.68,156.12,261.95,1.5
16,Asyut,100,EG,1577914068,76,27.18,31.19,283.15,4.1
17,Vertou,90,FR,1577914069,100,47.17,-1.47,283.15,1.5
18,Tura,86,RU,1577914069,96,64.27,100.22,247.49,2.82
19,Kaitangata,100,NZ,1577914069,90,-46.28,169.85,283.83,1.95
20,Cape Town,20,ZA,1577913893,88,-33.93,18.42,293.15,8.7
21,Kohlu,2,PK,1577914070,50,29.9,69.25,276.32,3.38
22,Qeshm,0,IR,1577914070,82,26.96,56.27,293.15,1.0
23,Qasigiannguit,87,GL,1577914070,50,68.82,-51.19,260.15,3.1
24,Saint George,20,GR,1577914070,42,39.45,22.34,281.15,7.7
25,Sitka,0,US,1577914071,32,37.17,-99.65,287.04,2.68
26,Narsaq,4,GL,1577914071,55,60.91,-46.05,260.15,2.1
27,Aripuana,100,BR,1577914071,97,-9.17,-60.63,296.06,1.74
28,Lavrentiya,0,RU,1577914072,85,65.58,-170.99,245.68,6.72
29,Kapaa,1,US,1577914072,57,22.08,-159.32,300.15,4.6
30,Albany,75,US,1577914072,51,42.65,-73.75,276.15,5.1
31,Saskylakh,0,RU,1577914072,82,71.97,114.09,248.17,6.2
32,Husavik,100,CA,1577914073,84,50.56,-96.99,269.82,1.79
33,Fortuna,90,US,1577914073,100,40.6,-124.16,286.15,2.1
34,Copiapo,0,CL,1577914073,60,-27.37,-70.33,294.15,5.1
35,Castro,49,CL,1577914074,53,-42.48,-73.76,295.15,3.6
36,Fukue,75,JP,1577914074,61,35.03,136.69,281.15,8.2
37,Faya,0,SA,1577914074,71,18.39,42.45,288.15,4.1
38,Hovd,75,NO,1577914074,70,63.83,10.7,282.59,8.7
39,Qaanaaq,100,GL,1577914075,90,77.48,-69.36,236.05,2.17
40,Bluff,3,AU,1577914075,78,-23.58,149.07,297.8,5.35
41,Arraial do Cabo,100,BR,1577914075,78,-22.97,-42.02,302.15,9.8
42,Busselton,95,AU,1577914075,61,-33.64,115.35,287.04,2.13
43,Ushuaia,75,AR,1577913834,32,-54.81,-68.31,293.15,6.2
44,Jining,41,CN,1577914076,65,35.41,116.58,273.52,1.13
45,Ilulissat,87,GL,1577914076,50,69.22,-51.1,260.15,3.1
46,Bayanday,100,RU,1577914077,90,53.07,105.52,257.35,2.26
47,Saint-Philippe,75,CA,1577914078,86,45.36,-73.48,273.71,5.7
48,Igarka,100,RU,1577914078,94,67.47,86.57,256.45,6.83
49,Katsuura,40,JP,1577914078,81,33.93,134.5,276.15,3.6
50,Pevek,0,RU,1577914081,96,69.7,170.27,243.06,3.96
51,Vaini,0,IN,1577914082,84,15.34,74.49,289.95,0.35
52,Port Alfred,69,ZA,1577914082,88,-33.59,26.89,293.15,2.24
53,Clyde River,20,CA,1577914082,69,70.47,-68.59,250.15,4.6
54,Midland,1,US,1577913855,32,32.0,-102.08,285.37,6.7
55,Beringovskiy,0,RU,1577914083,82,63.05,179.32,246.89,6.59
56,Airai,100,TL,1577914083,92,-8.93,125.41,293.15,0.58
57,Zimovniki,96,RU,1577914083,81,47.15,42.46,274.56,3.84
58,Sao Filipe,100,CV,1577914084,66,14.9,-24.5,295.9,6.85
59,Sambava,100,MG,1577914084,96,-14.27,50.17,296.46,0.94
60,Byron Bay,21,AU,1577913908,78,-28.65,153.62,299.26,5.7
61,Longyearbyen,75,NO,1577914084,78,78.22,15.63,260.15,2.6
62,East London,95,ZA,1577914085,86,-33.02,27.91,294.62,6.55
63,Barentu,0,ER,1577914085,56,15.11,37.59,293.74,2.1
64,San Patricio,82,PY,1577914085,42,-26.98,-56.83,305.44,3.04
65,Qaqortoq,0,GL,1577913937,55,60.72,-46.03,260.15,2.1
66,New Norfolk,40,AU,1577914086,39,-42.78,147.06,291.15,5.1
67,Ixtapa,90,MX,1577914086,94,20.71,-105.21,294.15,3.1
68,Georgetown,20,GY,1577913991,74,6.8,-58.16,301.15,3.1
69,Aklavik,90,CA,1577914087,76,68.22,-135.01,251.15,3.1
70,Provideniya,0,RU,1577914087,89,64.42,-173.23,242.13,3.23
71,Marrakesh,0,MA,1577914087,46,31.63,-7.99,285.15,1.0
72,Springbok,0,ZA,1577914087,53,-29.67,17.88,288.37,3.13
73,Hay River,90,CA,1577914088,84,60.82,-115.79,259.15,2.1
74,Zhengjiatun,30,CN,1577914088,88,43.51,123.51,254.41,2.44
75,Xichang,97,CN,1577914088,92,27.88,102.25,272.95,1.65
76,Pisco,77,PE,1577913985,30,-13.71,-76.2,295.93,7.2
77,Lagoa,1,PT,1577914089,81,37.14,-8.45,285.37,3.1
78,Tomatlan,100,MX,1577914089,89,19.93,-105.25,295.75,1.56
79,Saiha,54,IN,1577914089,97,22.49,92.98,286.46,1.5
80,Avarua,99,CK,1577914089,78,-21.21,-159.78,300.15,13.4
81,Barra Patuca,3,HN,1577914090,75,15.8,-84.28,300.37,5.7
82,Kloulklubed,100,PW,1577913844,82,7.04,134.26,301.15,11.26
83,Romny,24,UA,1577914090,87,50.74,33.49,270.75,3.74
84,Swan Hill,0,AU,1577914090,52,-35.34,143.56,290.96,3.36
85,Mount Gambier,90,AU,1577914090,93,-37.83,140.78,286.15,0.5
86,Priladozhskiy,90,RU,1577914091,93,59.85,31.48,276.15,5.0
87,Tucumcari,1,US,1577914091,15,35.17,-103.73,289.82,10.3
88,Hermanus,0,ZA,1577914091,89,-34.42,19.24,294.26,8.24
89,Hobart,40,AU,1577913931,39,-42.88,147.33,291.15,5.1
90,Moron,10,HT,1577914092,79,18.56,-74.26,299.9,2.97
91,Vangaindrano,100,MG,1577914092,93,-23.35,47.6,296.69,1.14
92,Victor Harbor,0,AU,1577914092,63,-35.55,138.62,291.15,2.41
