authors,category/genre,description,id_book,image_url,isbn,language,num_pages,published_date,publisher,reviews,sub_category,title,ratings_count,reviews_count,text_reviews_count,average_rating
['Stacey Joy Netzel'],Fiction,"Kendra Zelner has three brothers: Eight-year old Noah she's determined to protect, Joel has no clue she exists, and Robert wants her dead. With reason to be distrustful of cops, she takes Noah and flees their Manhattan home for Joel’s ranch in Colorado. Under the pretense of needing a job, she plans to hide out until her twenty-fifth birthday, when she’ll inherit her trust fund and legally gain custody of Noah away from Robert’s greedy hands. Unfortunately, her new-found brother’s sexy, infuriating ranch manager insists on demolishing her defenses and digging into her past. Colton Lawe has good reason to suspect Joel’s beautiful, long-lost sister isn’t what she seems—the little liar stole from him! He silently vows to expose her secrets, but long hours together on the ranch fosters a friendship and attraction neither of them expects. Can Kendra trust Colton with the full truth before Robert tracks them down? COLORADO TRUST SERIES Trust makes all the difference when love and danger collide. Evidence of Trust, Book 1 Trust by Design, Book 2 Trust in the Lawe, Book 3 Shattered Trust, Book 4 Dare to Trust, Book 5 Vow of Trust, Book 6 Romantic suspense, sexy alpha male hero, Boulder Colorado, stalker romance, contemporary western romance, workplace romance, horse ranch, family betrayal romance, secret sibling, revenge, greed, family secrets, series romance, Colorado Trust Series, cowboy hero, city girl goes country, fish out of water romance, New York heroine, marriage of convenience",JbKjAwAAQBAJ,http://books.google.com/books/content?id=JbKjAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781939143228,en,, ,Stacey Joy Netzel,"{'ratings_count': 167, 'reviews_count': 352, 'text_reviews_count': 19, 'average_rating': '4.17', 'rating_dist': {'5-stars': '79', '4-stars': '52', '3-stars': '25', '2-stars': '7', '1-star': '4'}}",contemporary-romance,Trust in the Lawe (Colorado Trust Series - 3),167,352,19,4.17
['Stephen King'],Fiction,"Returns to the rich landscape of Mid-World in a story within a story about gunslinger Roland Deschain, who while investigating a murderous shape-shifter interviews a terrified teen who has witnessed the creature's most recent killing.",Nvkwjw2LToEC,http://books.google.com/books/content?id=Nvkwjw2LToEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781451658903,en,309, ,Simon and Schuster,"{'ratings_count': 62949, 'reviews_count': 130610, 'text_reviews_count': 5030, 'average_rating': '4.15', 'rating_dist': {'5-stars': '24794', '4-stars': '25441', '3-stars': '10626', '2-stars': '1681', '1-star': '407'}}",fantasy,The Wind Through the Keyhole,62949,130610,5030,4.15
['Jill McCorkle'],Fiction,Jo Spencer's conventional life is disrupted when she falls in love with the older and more experienced Red Williams,ouTaAnG0ipwC,http://books.google.com/books/content?id=ouTaAnG0ipwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,9781565120013,en,400, ,Algonquin Books,"{'ratings_count': 473, 'reviews_count': 884, 'text_reviews_count': 36, 'average_rating': '3.71', 'rating_dist': {'5-stars': '116', '4-stars': '167', '3-stars': '143', '2-stars': '30', '1-star': '17'}}",fiction,The Cheer Leader,473,884,36,3.71
['Jules Verne'],Fiction,"Jules Verne: Die Kinder des Kapitän Grant. Alle drei Bände in einem Buch Frz. Titel: LES ENFANTS DU CAPITAINE GRANT. 1. Amérique du Sud. 2. Australie. 3. Océan pacifique (entstanden 1865-1866). Frz. Vorabdruck: Magasin d’Education et de Récréation 20.12.1865-5.12.1867. Frz. Buch-Erstausgbe: J. Hetzel, Paris 1867/68. Dt. Buch-Erstausgabe: A. Hartleben, Wien Pest Leipzig 1875, ausgeliefert Oktober 1874. Übersetzung: Karl Lanz. Hier benutzte Ausgabe: A. Hartleben, Wien Pest Leipzig 1876, ausgeliefert September 1875. Bekannte und unbekannte Welten. Abenteuerliche Reisen von Julius Verne XI- XIII. Vollständige Neuausgabe. Herausgegeben von Karl-Maria Guth. Berlin 2015. Textgrundlage ist die Ausgabe: Jules Verne: Die Kinder des Kapitän Grant. Bekannte und unbekannte Welten. Abenteuerliche Reisen von Julius Verne, Band XI–XIII, Wien, Pest, Leipzig: A. Hartleben, 1876. Die Paginierung obiger Ausgabe wird in dieser Neuausgabe als Marginalie zeilengenau mitgeführt. Umschlaggestaltung von Thomas Schultz-Overhage unter Verwendung des Bildes: Anton Melbye, Schiff in rauer See, 1844. Gesetzt aus Minion Pro, 11 pt.",ekDTBgAAQBAJ,http://books.google.com/books/content?id=ekDTBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9783843030885,de,538, ,BoD – Books on Demand,"{'ratings_count': 9954, 'reviews_count': 17743, 'text_reviews_count': 224, 'average_rating': '4.08', 'rating_dist': {'5-stars': '4054', '4-stars': '3312', '3-stars': '2046', '2-stars': '455', '1-star': '87'}}",adventure,Die Kinder des Kapitän Grant,9954,17743,224,4.08
['Cathy Gillen Thacker'],Fiction,"With a busy career and three kids to feed, single father Dan Kingsland needs help to bring peace to his chaotic household! Hiring a professional chef is such a perfect solution, Dan doesn't notice the baby bump under Emily Stayton's coat. Emily, after working on her career for so many years, is finally getting what she wants—a baby—and going where she wants: home to the peach orchard her family used to own. Then her ex-fiancé outbids her on the land and offers a compromise: a business relationship. When Dan shares the joy of her baby's first kick, he realizes he's falling for his very temporary employee. His kids need a mom as much as her baby needs a dad. With Emily's old flame pressuring her to sign that contract, can Dan come up with his own compromise before it's too late?",BtMwEKkGwowC,http://books.google.com/books/content?id=BtMwEKkGwowC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781426841453,en,224, ,Harlequin,"{'ratings_count': 70, 'reviews_count': 177, 'text_reviews_count': 9, 'average_rating': '3.51', 'rating_dist': {'5-stars': '15', '4-stars': '19', '3-stars': '24', '2-stars': '11', '1-star': '1'}}",hoopla,A Baby for Mommy,70,177,9,3.51
['Edgar Wallace'],Fiction,"Employing his unique style of innocent and endearing humour, Bones has written to the newspapers inviting the Foreign Secretary to pay a visit to the African territories which they administer. It is against the regulations and his boss Hamilton is furious. All the while Bosambo, chief of the Ochori, watches closely.",A4KYDQAAQBAJ,http://books.google.com/books/content?id=A4KYDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780755122684,en,190, ,House of Stratus,"{'ratings_count': 27, 'reviews_count': 77, 'text_reviews_count': 2, 'average_rating': '3.96', 'rating_dist': {'5-stars': '8', '4-stars': '10', '3-stars': '9', '2-stars': '0', '1-star': '0'}}",fiction,Sanders,27,77,2,3.96
['Russell Mardell'],Fiction,"Britain has broken. Anarchy and mayhem have finally become a way of life. The system has shut down and politics has imploded. Even being famous doesn’t mean as much as it once did; nowadays it’s friend vs. friend, celebrity vs. celebrity and reality vs. fiction. But even in hell, there are love stories left to tell…Meet Zach, Albie and Archie, three nobodies with something to say; the private detective on a case that threatens his own sanity, TV’s former golden girl who just wants out, and the voice of the people, now the country’s most wanted man. A trio of interconnected lives and loves recounted in reverse and wrapped around the dark mystery of a country at war with itself. Through their reflections, confessions and memories, a chillingly twisted portrait of a world, not too dissimilar to our own, is slowly revealed. Blending satire with unsettling drama and with a wicked streak of humour, Stone Bleeding is a story of worth amongst the worthless, hope amongst the hopeless and love amongst the loveless.",YkZdNbGWQH4C,http://books.google.com/books/content?id=YkZdNbGWQH4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781780880747,en,232, ,Troubador Publishing Ltd,"{'ratings_count': 22, 'reviews_count': 657, 'text_reviews_count': 9, 'average_rating': '4.00', 'rating_dist': {'5-stars': '7', '4-stars': '10', '3-stars': '4', '2-stars': '0', '1-star': '1'}}",fiction,Stone Bleeding,22,657,9,4.00
['Lawrence Leshan'],Fiction,"If we wish to learn from the Holocaust how to act against a recurrence, we must ask what the SS thought they were doing as they organized and ran the horrific camps. Then we can know how to watch for early signs of the emergence of this type of thinking and move against it. This book addresses itself to this problem and arrives at new answers. Modern science and philosophy have gradually become aware of the degree to which human beings use different sets of assumptions about the nature of reality (how things are and work) in different situations. As this book demonstrates, when the ""Mythic"" world picture is used to solve political problems (instead of the appropriate ""Sensory"" world view) the concentration camp becomes a possibility. The process, however, is not inexorable, but can be aborted if understood.",PYMOspcxwUYC,http://books.google.com/books/content?id=PYMOspcxwUYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781599268859,en,, ,Xlibris Corporation,"{'ratings_count': 0, 'reviews_count': 3, 'text_reviews_count': 0, 'average_rating': '0.00', 'rating_dist': {'5-stars': '0', '4-stars': '0', '3-stars': '0', '2-stars': '0', '1-star': '0'}}",should-reads,The Pattern of Evil,0,3,0,0.00
['David Farland'],Fiction,"The Saga of the Runelords is written in the finest tradition of Tolkien and other works that rise above the fantasy genre to special and individual heights. Now the epic story continues, in this follow-up to ""Worldbinder.""",nIJEAwAAQBAJ,http://books.google.com/books/content?id=nIJEAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780765355850,en,343, ,"Farrar, Straus, and Giroux","{'ratings_count': 2390, 'reviews_count': 4609, 'text_reviews_count': 44, 'average_rating': '3.79', 'rating_dist': {'5-stars': '629', '4-stars': '859', '3-stars': '701', '2-stars': '162', '1-star': '39'}}",fantasy,The Wyrmling Horde,2390,4609,44,3.79
['Anne Stuart'],Fiction,"A long string of tragic loves haunts Viscount Benedick Francis Alistair Rohan. Cool and cynical, he's weary of life's fickle games and wants a prim and proper wife he can ignore while indulging his sensual appetites. Lady Melisande Carstairs is nothing less than a tornado storming into Benedick's measured life. Possessed of boundless energy and the soul of a reformer, Melisande always conquers, whether it's saving the souls of soiled doves or seducing the man she's inconveniently fallen for. When she informs Benedick that his brother's newly revived Heavenly Host has graduated from simple carnal debauchery to sadistic violence, he's compelled to investigate, undercover. Under those covers, however, is Melisande herself, playing a dangerous game in the name of justice. And the Heavenly Host has just seen her hand, and more…",aS50KCRwCFQC,http://books.google.com/books/content?id=aS50KCRwCFQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1459207629,en,411, ,MIRA,"{'ratings_count': 2556, 'reviews_count': 4405, 'text_reviews_count': 224, 'average_rating': '3.90', 'rating_dist': {'5-stars': '743', '4-stars': '1031', '3-stars': '595', '2-stars': '146', '1-star': '41'}}",historical-fiction,Shameless,2556,4405,224,3.90
['Andrew H. Vachss'],Fiction,"When a client who had hired him to find a missing woman is gunned down just minutes after their meeting, Burke launches an investigation to find Beryl Preston, a girl he had rescued from a brutal pimp some twenty years earlier and returned to her father, a quest that leads him into the darkest depths of human evil and into a confrontation with his own past. Reprint.",y3gghM_M8U0C,http://books.google.com/books/content?id=y3gghM_M8U0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780307278302,en,336, ,Vintage Books USA,"{'ratings_count': 802, 'reviews_count': 1313, 'text_reviews_count': 37, 'average_rating': '3.81', 'rating_dist': {'5-stars': '211', '4-stars': '295', '3-stars': '235', '2-stars': '51', '1-star': '10'}}",fiction,Mask Market,802,1313,37,3.81
